sheet,header_row,column,name,range,type_inferred,source,formula_cells,literal_cells,example_formula,example_cell,example_cached,number_format
Analiza_Linii,5,N,P_Calibrated,N6:N1405,Float probabilitate 0–1,Rezultat formulă,1400,0,"=IF(M6="""","""",MAX(0.01,MIN(0.99,0.5+(M6-0.5)*'Motor_Meciuri'!BG6*'Calibrare_Linii'!D6)))",N6,0.8929839161391997,0.0%
Analiza_Linii,5,O,Failure_Model,O6:O1405,Float probabilitate 0–1,Rezultat formulă,1400,0,"=IF(M6="""","""",1-M6)",O6,0.008462894134834698,0.0%
Analiza_Linii,5,P,Empirical_HA,P6:P1405,Float probabilitate 0–1,Rezultat formulă,1400,0,"=IF(OR(NOT(AND(J6=""PASS"",'Calibrare_Linii'!U6=""VALID"")),AK6=0),"""",SUMPRODUCT(('Istoric_Nativ'!$B$6:$B$405='Input_Meci'!B6)*('Istoric_Nativ'!$C$6:$C$405='Input_Meci'!C6)*('Istoric_Nativ'!$P$6:$P$405=1)*('Istoric_Nativ'!$D$6:$D$405<INT('Input_Meci'!G6))*((('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!D6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!E6))>0)*('Istoric_Nativ'!$Q$6:$Q$405<=H6))/AK6)",P6,0,0.0%
Analiza_Linii,5,Q,Empirical_L10,Q6:Q1405,Float probabilitate 0–1,Rezultat formulă,1400,0,"=IF(OR(NOT(AND(J6=""PASS"",'Calibrare_Linii'!U6=""VALID"")),AL6=0),"""",SUMPRODUCT(('Istoric_Nativ'!$B$6:$B$405='Input_Meci'!B6)*('Istoric_Nativ'!$C$6:$C$405='Input_Meci'!C6)*('Istoric_Nativ'!$P$6:$P$405=1)*('Istoric_Nativ'!$D$6:$D$405<INT('Input_Meci'!G6))*((((('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!D6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!D6))>0)*('Istoric_Nativ'!$D$6:$D$405>='Motor_Meciuri'!BM6)+((('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!E6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!E6))>0)*('Istoric_Nativ'!$D$6:$D$405>='Motor_Meciuri'!BN6))>0)*('Istoric_Nativ'!$Q$6:$Q$405<=H6))/AL6)",Q6,0,0.0%
Analiza_Linii,5,R,Empirical_L20,R6:R1405,Float probabilitate 0–1,Rezultat formulă,1400,0,"=IF(OR(NOT(AND(J6=""PASS"",'Calibrare_Linii'!U6=""VALID"")),AM6=0),"""",SUMPRODUCT(('Istoric_Nativ'!$B$6:$B$405='Input_Meci'!B6)*('Istoric_Nativ'!$C$6:$C$405='Input_Meci'!C6)*('Istoric_Nativ'!$P$6:$P$405=1)*('Istoric_Nativ'!$D$6:$D$405<INT('Input_Meci'!G6))*((((('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!D6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!D6))>0)*('Istoric_Nativ'!$D$6:$D$405>='Motor_Meciuri'!BO6)+((('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!E6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!E6))>0)*('Istoric_Nativ'!$D$6:$D$405>='Motor_Meciuri'!BP6))>0)*('Istoric_Nativ'!$Q$6:$Q$405<=H6))/AM6)",R6,0,0.0%
Analiza_Linii,5,S,Failure_Gate,S6:S1405,Float probabilitate 0–1,Rezultat formulă,1400,0,"=IF(M6="""","""",MAX(O6,P6,Q6,R6))",S6,0.008462894134834698,0.0%
Analiza_Linii,5,T,Risk_Score,T6:T1405,Float,Rezultat formulă,1400,0,"=IF(M6="""","""",MIN(100,S6*100*'Config_v6'!$B$44+MIN(100,L6/'Config_v6'!$B$13*100)*'Config_v6'!$B$45+(100-'Motor_Meciuri'!BF6)*'Config_v6'!$B$46+'Motor_Meciuri'!BH6*100*'Config_v6'!$B$47))",T6,9.972221126086591,0.00
Analiza_Linii,5,U,Risk_Level_Raw,U6:U1405,Număr întreg,Rezultat formulă,1400,0,"=IF(T6="""","""",IF(T6<=20,1,IF(T6<=40,2,IF(T6<=60,3,IF(T6<=80,4,5)))))",U6,1,General
Analiza_Linii,5,V,Confidence_Final,V6:V1405,Număr întreg,Rezultat formulă,1400,0,"=IF(M6="""","""",MAX(0,'Motor_Meciuri'!BF6-IF(W6=""OOS PENDING"",'Config_v6'!$B$35,0)-IF(L6>'Config_v6'!$B$12,'Config_v6'!$B$37,IF(L6>'Config_v6'!$B$11,'Config_v6'!$B$36,0))))",V6,90,General
Analiza_Linii,5,W,Tail_Gate,W6:W1405,Text,Rezultat formulă,1400,0,"=IF(B6="""","""",IF(I6<>""READY"",""NOT RELEASED"",IF(NOT(AND(J6=""PASS"",'Calibrare_Linii'!U6=""VALID"")),""INVALID"",IF(NOT(TRUE),""OOS PENDING"",IF(S6<=IF(AND('Calibrare_Linii'!S6=""VALIDATED"",AND('Calibrare_Linii'!H6=C6,ISNUMBER('Calibrare_Linii'!J6),'Calibrare_Linii'!J6<='Input_Meci'!G6)),'Calibrare_Linii'!E6,'Config_v6'!$B$26),""PASS"",IF(S6<=IF(AND('Calibrare_Linii'!S6=""VALIDATED"",AND('Calibrare_Linii'!H6=C6,ISNUMBER('Calibrare_Linii'!J6),'Calibrare_Linii'!J6<='Input_Meci'!G6)),'Calibrare_Linii'!F6,'Config_v6'!$C$26),""PENALTY"",""WATCH""))))))",W6,PASS,General
Analiza_Linii,5,X,Defensive_Candidate,X6:X1405,Text,Rezultat formulă,1400,0,"=IF(M6="""","""",IF(AND(AND(J6=""PASS"",'Calibrare_Linii'!U6=""VALID""),'Motor_Meciuri'!K6=12,'Motor_Meciuri'!L6=12,'Motor_Meciuri'!M6=""NO"",'Motor_Meciuri'!BL6='Motor_Meciuri'!C6,AB6>='Config_v6'!$B$50,AN6>='Config_v6'!$B$51,T6<='Config_v6'!$B$52,L6<='Config_v6'!$B$53,ISNUMBER('Calibrare_Linii'!E6),S6<='Calibrare_Linii'!E6,SUM(AK6:AM6)>0),""CANDIDATE"",""NO""))",X6,NO,General
Analiza_Linii,5,Y,Defensive_Gate,Y6:Y1405,Text,Rezultat formulă,1400,0,"=IF(B6="""","""",IF(I6<>""READY"",""NOT RELEASED"",IF(AND(X6=""CANDIDATE"",V6>='Config_v6'!$B$51,W6=""PASS"",'Calibrare_Linii'!T6=""VALIDATED"",AND('Calibrare_Linii'!H6=C6,ISNUMBER('Calibrare_Linii'!J6),'Calibrare_Linii'!J6<='Input_Meci'!G6)),""PASS"",IF(X6=""CANDIDATE"",""OOS PENDING"",""FAIL""))))",Y6,FAIL,General
Analiza_Linii,5,Z,Risk_Level_FINAL,Z6:Z1405,Număr întreg,Rezultat formulă,1400,0,"=IF(B6="""","""",IF(I6<>""READY"","""",IF(OR(NOT(AND(J6=""PASS"",'Calibrare_Linii'!U6=""VALID"")),L6>'Config_v6'!$B$13,W6=""WATCH""),5,IF(Y6=""PASS"",1,MIN(5,MAX('Config_v6'!$B$42,U6)+IF(W6=""PENALTY"",1,0))))))",Z6,2,General
Analiza_Linii,5,AA,Verdict_FINAL,AA6:AA1405,Text,Rezultat formulă,1400,0,"=IF(B6="""","""",IF(I6<>""READY"",""NOT RELEASED"",IF(Z6=5,""NO BET"",IF(OR(AB6<'Config_v6'!$B$16,V6<'Config_v6'!$B$18),""WATCH"",IF(Z6=1,""DEFENSIV"",IF(Z6=2,""PRUDENT"",IF(Z6=3,""MODERAT"",""RIDICAT"")))))))",AA6,PRUDENT,General
Analiza_Linii,5,AB,P_FINAL,AB6:AB1405,Float probabilitate 0–1,Rezultat formulă,1400,0,"=IF(N6="""","""",MIN(N6,1-S6))",AB6,0.8929839161391997,0.0%
Analiza_Linii,5,AC,Rank_In_Match,AC6:AC1405,Număr întreg,Rezultat formulă,1400,0,"=IF(AD6<>1,"""",COUNTIFS($Z$6:$Z$19,""<""&Z6,$AD$6:$AD$19,1)+COUNTIFS($Z$6:$Z$19,Z6,$AB$6:$AB$19,"">""&AB6,$AD$6:$AD$19,1)+COUNTIFS($Z$6:$Z$19,Z6,$AB$6:$AB$19,AB6,$V$6:$V$19,"">""&V6,$AD$6:$AD$19,1)+COUNTIFS($Z$6:Z6,Z6,$AB$6:AB6,AB6,$V$6:V6,V6,$AD$6:AD6,1))",AC6,1,General
Analiza_Linii,5,AD,Eligible,AD6:AD1405,Număr întreg,Rezultat formulă,1400,0,"=IF(OR(AA6=""DEFENSIV"",AA6=""PRUDENT"",AA6=""MODERAT"",AA6=""RIDICAT""),1,0)",AD6,1,General
Analiza_Linii,5,AE,Builder,AE6:AE1405,Text,Rezultat formulă,1400,0,"=IF(AD6<>1,""NO"",IF(W6=""PASS"",""YES"",IF(W6=""OOS PENDING"",""CONDITIONAL"",""NO"")))",AE6,YES,General
Analiza_Linii,5,AF,Live_Eligible_Best,AF6:AF1405,Număr întreg,Rezultat formulă,1400,0,"=IF(AND(AD6=1,AC6=1,E6=""LIVE""),1,0)",AF6,0,General
Analiza_Linii,5,AG,Rank_LIVE,AG6:AG1405,Număr întreg,Rezultat formulă,1400,0,"=IF(AF6<>1,"""",'Dashboard'!P26)",AG6,,General
Analiza_Linii,5,AH,Reason,AH6:AH1405,Text,Rezultat formulă,1400,0,"=IF(B6="""","""",IF(J6<>""PASS"",'Motor_Meciuri'!J6,IF('Calibrare_Linii'!U6<>""VALID"",""Parametri linie invalizi"",IF(L6>'Config_v6'!$B$13,""Dispersie peste limita"",IF(W6=""WATCH"",""Failure peste limita"",IF(AB6<'Config_v6'!$B$16,""P finala sub prag"",IF(V6<'Config_v6'!$B$18,""Confidence sub prag"",IF(E6=""REPLAY"",""Exemplu retrospectiv; exclus din Top LIVE"",IF(Y6=""PASS"",""DEFENSIV validat"",IF(W6=""OOS PENDING"",""Eligibil; calibrare linie in monitorizare"",""Eligibil""))))))))))",AH6,Exemplu retrospectiv; exclus din Top LIVE,General
Analiza_Linii,5,AI,Model_Signature,AI6:AI1405,Text,Rezultat formulă,1400,0,"=IF(B6="""","""",'Calibrare_Linii'!V6)",AI6,"CORNERS_NATIVE_V14|0.300000|0.450000|0.250000|10.000000|5.000000|3.000000|1.100000|1.350000|1.700000|2.250000|0.820000|20.000000|0.720000|65.000000|0.000000|0.080000|0.120000|0.050000|75.000000|10.000000|5.000000|10.000000|5.000000|2.000000|2.000000|0.550000|0.200000|0.150000|0.100000|0.900000|90.000000|20.000000|1.100000|5.000000|200.000000|0.900000|0.050000|0.080000|O3,5|1.000000|0.050000|0.080000",General
Analiza_Linii,5,AJ,OOS_Status,AJ6:AJ1405,Text,Rezultat formulă,1400,0,"=IF(B6="""","""",IF(AND('Calibrare_Linii'!T6=""VALIDATED"",AND('Calibrare_Linii'!H6=C6,ISNUMBER('Calibrare_Linii'!J6),'Calibrare_Linii'!J6<='Input_Meci'!G6)),""DEFENSIVE VALIDATED"",IF(AND('Calibrare_Linii'!S6=""VALIDATED"",AND('Calibrare_Linii'!H6=C6,ISNUMBER('Calibrare_Linii'!J6),'Calibrare_Linii'!J6<='Input_Meci'!G6)),""TAIL VALIDATED"",""OOS PENDING"")))",AJ6,OOS PENDING,General
Analiza_Linii,5,AK,N_HA_Empirical,AK6:AK1405,Număr întreg,Rezultat formulă,1400,0,"=IF(J6<>""PASS"",0,'Motor_Meciuri'!BR6)",AK6,36,General
Analiza_Linii,5,AL,N_L10_Empirical,AL6:AL1405,Număr întreg,Rezultat formulă,1400,0,"=IF(J6<>""PASS"",0,'Motor_Meciuri'!BS6)",AL6,20,General
Analiza_Linii,5,AM,N_L20_Empirical,AM6:AM1405,Număr întreg,Rezultat formulă,1400,0,"=IF(J6<>""PASS"",0,'Motor_Meciuri'!BT6)",AM6,40,General
Analiza_Linii,5,AN,Candidate_Confidence,AN6:AN1405,Număr întreg,Rezultat formulă,1400,0,"=IF(M6="""","""",MAX(0,'Motor_Meciuri'!BF6-IF(L6>'Config_v6'!$B$12,'Config_v6'!$B$37,IF(L6>'Config_v6'!$B$11,'Config_v6'!$B$36,0))))",AN6,90,General
Motor_Meciuri,5,A,Match_ID,A6:A105,Text,Rezultat formulă,100,0,"=IF('Input_Meci'!A6="""","""",'Input_Meci'!A6)",A6,REPLAY_1,General
Motor_Meciuri,5,B,League,B6:B105,Text,Rezultat formulă,100,0,"=IF(A6="""","""",'Input_Meci'!B6)",B6,E0,General
Motor_Meciuri,5,C,Season,C6:C105,Text,Rezultat formulă,100,0,"=IF(A6="""","""",'Input_Meci'!C6)",C6,2025/26,General
Motor_Meciuri,5,D,Match,D6:D105,Text,Rezultat formulă,100,0,"=IF(A6="""","""",'Input_Meci'!D6&"" – ""&'Input_Meci'!E6)",D6,Brighton – Man United,General
Motor_Meciuri,5,E,Mode,E6:E105,Text,Rezultat formulă,100,0,"=IF(A6="""","""",'Input_Meci'!H6)",E6,REPLAY,General
Motor_Meciuri,5,F,Kickoff_UTC,F6:F105,Dată UTC / serial Excel; unele formule pot întoarce 0,Rezultat formulă,100,0,"=IF(A6="""","""",'Input_Meci'!F6)",F6,2026-05-24T00:00:00,yyyy-mm-dd hh:mm
Motor_Meciuri,5,G,Cutoff_UTC,G6:G105,Dată UTC / serial Excel; unele formule pot întoarce 0,Rezultat formulă,100,0,"=IF(A6="""","""",'Input_Meci'!G6)",G6,2026-05-23T23:00:00,yyyy-mm-dd hh:mm
Motor_Meciuri,5,H,Release,H6:H105,Text,Rezultat formulă,100,0,"=IF(A6="""","""",IF(BQ6<>""VALID"",""NOT RELEASED"",IF(AND(OR('Input_Meci'!I6=""NOT AVAILABLE"",'Input_Meci'!I6=""SOURCE CONFLICT""),'Input_Meci'!J6<>""""),""READY"",IF(OR(NOT(OR('Input_Meci'!I6=""AUTO"",'Input_Meci'!I6="""")),COUNTIF('Core_Nativ'!R6:R11,""CLOSED"")<>6,BJ6>0),""NOT RELEASED"",""READY""))))",H6,READY,General
Motor_Meciuri,5,I,G0,I6:I105,Text,Rezultat formulă,100,0,"=IF(A6="""","""",IF(H6<>""READY"",""NOT RELEASED"",IF(AND(NOT(OR('Input_Meci'!I6=""NOT AVAILABLE"",'Input_Meci'!I6=""SOURCE CONFLICT"")),L6=12,AR6>=2,AS6>0,ISNUMBER(AT6),BI6=""VALID"",BK6=""VALID""),""PASS"",""FAIL"")))",I6,PASS,General
Motor_Meciuri,5,J,Reason,J6:J105,Text,Rezultat formulă,100,0,"=IF(A6="""","""",IF(BQ6<>""VALID"",""Verifica ID, echipe, mod si cutoff < kickoff"",IF(H6<>""READY"",IF('Input_Meci'!I6=""ACCESS BLOCKED"",""Acces blocat: reia sursele"",IF(BJ6>0,""Istoric invalid sau conflict: verifica randurile native"",""Surse neinchise / post-cutoff / dovezi incomplete"")),IF(OR('Input_Meci'!I6=""NOT AVAILABLE"",'Input_Meci'!I6=""SOURCE CONFLICT""),'Input_Meci'!I6,IF(BK6<>""VALID"",""Parametri invalizi"",IF(L6<>12,""Core / sample / prior insuficient"",IF(AR6<2,""N insuficient pentru dispersie"",IF(AS6<=0,""Media istorica trebuie sa fie pozitiva"",IF(BI6<>""VALID"",""Context invalid"",""READY"")))))))))",J6,READY,General
Motor_Meciuri,5,K,Core_Native_Count,K6:K105,Număr întreg,Rezultat formulă,100,0,"=IF(A6="""","""",COUNT(T6:AE6))",K6,12,General
Motor_Meciuri,5,L,Core_Effective_Count,L6:L105,Număr întreg,Rezultat formulă,100,0,"=IF(A6="""","""",COUNT(AF6:AQ6))",L6,12,General
Motor_Meciuri,5,M,Prior_Active,M6:M105,Text,Rezultat formulă,100,0,"=IF(A6="""","""",IF(OR('Core_Nativ'!M6<'Core_Nativ'!P6,'Core_Nativ'!M7<'Core_Nativ'!P7,'Core_Nativ'!M8<'Core_Nativ'!P8,'Core_Nativ'!M9<'Core_Nativ'!P9,'Core_Nativ'!M10<'Core_Nativ'!P10,'Core_Nativ'!M11<'Core_Nativ'!P11),""YES"",""NO""))",M6,NO,General
Motor_Meciuri,5,N,N_H_Season,N6:N105,Număr întreg,Rezultat formulă,100,0,"=IF(A6="""","""",'Core_Nativ'!M6)",N6,37,General
Motor_Meciuri,5,O,N_H_HA,O6:O105,Număr întreg,Rezultat formulă,100,0,"=IF(A6="""","""",'Core_Nativ'!M7)",O6,18,General
Motor_Meciuri,5,P,N_H_Recent,P6:P105,Număr întreg,Rezultat formulă,100,0,"=IF(A6="""","""",'Core_Nativ'!M8)",P6,5,General
Motor_Meciuri,5,Q,N_A_Season,Q6:Q105,Număr întreg,Rezultat formulă,100,0,"=IF(A6="""","""",'Core_Nativ'!M9)",Q6,37,General
Motor_Meciuri,5,R,N_A_HA,R6:R105,Număr întreg,Rezultat formulă,100,0,"=IF(A6="""","""",'Core_Nativ'!M10)",R6,18,General
Motor_Meciuri,5,S,N_A_Recent,S6:S105,Număr întreg,Rezultat formulă,100,0,"=IF(A6="""","""",'Core_Nativ'!M11)",S6,5,General
Motor_Meciuri,5,T,Raw_H_S_For,T6:T105,Float,Rezultat formulă,100,0,"=IF(OR(A6="""",'Core_Nativ'!M6=0),"""",'Core_Nativ'!N6)",T6,5,0.00
Motor_Meciuri,5,U,Raw_H_S_Against,U6:U105,Float,Rezultat formulă,100,0,"=IF(OR(A6="""",'Core_Nativ'!M6=0),"""",'Core_Nativ'!O6)",U6,4.864864864864865,0.00
Motor_Meciuri,5,V,Raw_H_HA_For,V6:V105,Float,Rezultat formulă,100,0,"=IF(OR(A6="""",'Core_Nativ'!M7=0),"""",'Core_Nativ'!N7)",V6,5.222222222222222,0.00
Motor_Meciuri,5,W,Raw_H_HA_Against,W6:W105,Float,Rezultat formulă,100,0,"=IF(OR(A6="""",'Core_Nativ'!M7=0),"""",'Core_Nativ'!O7)",W6,4.611111111111111,0.00
Motor_Meciuri,5,X,Raw_H_R_For,X6:X105,Float,Rezultat formulă,100,0,"=IF(OR(A6="""",'Core_Nativ'!M8=0),"""",'Core_Nativ'!N8)",X6,7.2,0.00
Motor_Meciuri,5,Y,Raw_H_R_Against,Y6:Y105,Float,Rezultat formulă,100,0,"=IF(OR(A6="""",'Core_Nativ'!M8=0),"""",'Core_Nativ'!O8)",Y6,4.4,0.00
Motor_Meciuri,5,Z,Raw_A_S_For,Z6:Z105,Float,Rezultat formulă,100,0,"=IF(OR(A6="""",'Core_Nativ'!M9=0),"""",'Core_Nativ'!N9)",Z6,4.837837837837838,0.00
Motor_Meciuri,5,AA,Raw_A_S_Against,AA6:AA105,Float,Rezultat formulă,100,0,"=IF(OR(A6="""",'Core_Nativ'!M9=0),"""",'Core_Nativ'!O9)",AA6,5.027027027027027,0.00
Motor_Meciuri,5,AB,Raw_A_HA_For,AB6:AB105,Float,Rezultat formulă,100,0,"=IF(OR(A6="""",'Core_Nativ'!M10=0),"""",'Core_Nativ'!N10)",AB6,4.388888888888889,0.00
Motor_Meciuri,5,AC,Raw_A_HA_Against,AC6:AC105,Float,Rezultat formulă,100,0,"=IF(OR(A6="""",'Core_Nativ'!M10=0),"""",'Core_Nativ'!O10)",AC6,5.611111111111111,0.00
Motor_Meciuri,5,AD,Raw_A_R_For,AD6:AD105,Float,Rezultat formulă,100,0,"=IF(OR(A6="""",'Core_Nativ'!M11=0),"""",'Core_Nativ'!N11)",AD6,5.2,0.00
Motor_Meciuri,5,AE,Raw_A_R_Against,AE6:AE105,Float,Rezultat formulă,100,0,"=IF(OR(A6="""",'Core_Nativ'!M11=0),"""",'Core_Nativ'!O11)",AE6,6,0.00
Motor_Meciuri,5,AF,Effective_H_S_For,AF6:AF105,Float,Rezultat formulă,100,0,"=IF(A6="""","""",IF(AND('Core_Nativ'!R6=""CLOSED"",'Core_Nativ'!S6=0),IF('Core_Nativ'!M6>='Core_Nativ'!P6,'Core_Nativ'!N6,IF(AND('Input_Meci'!L6=""YES"",'Input_Meci'!K6<>"""",'Input_Meci'!K6<C6,'Core_Nativ'!T12=""DERIVED"",'Core_Nativ'!M12>='Core_Nativ'!P6),MIN(1,'Core_Nativ'!M6/'Core_Nativ'!P6)*IF('Core_Nativ'!M6=0,0,'Core_Nativ'!N6)+(1-MIN(1,'Core_Nativ'!M6/'Core_Nativ'!P6))*'Core_Nativ'!N12,"""")),""""))",AF6,5,0.00
