source,case_id,selection,B,D,E,F,H,I,K,L,M,N,O,P,Q,T,U,X,Y,AA,AB,AC,AD,AE,AF
fixture,strength_minus5,X2,0.7,0.3,0.01,0.69,0.7,-0.010000000000000009,PASS,56.0,3.0,MODERAT,PASS,PASS,N/A,0.0,PASS,0.3,0.3,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,strength_minus5,12,0.6499999999999999,0.35,0.01,0.6399999999999999,0.6499999999999999,-0.010000000000000009,FAIL,100,5.0,NO BET,N/A,N/A,FAIL,0,FAIL,0.35,0.35,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,strength_below_minus5,1X,0.6499999999999999,0.35,0.01,0.6399999999999999,0.6499999999999999,-0.010000000000000009,FAIL,100,5.0,NO BET,PRUDENT,FAIL,N/A,0,FAIL,0.35,0.35,NO,N/A,0.0,READY,NO,FĂRĂ ISTORIC
fixture,strength_below_minus5,X2,0.71,0.29,0.01,0.7,0.71,-0.010000000000000009,PASS,54.0,3.0,MODERAT,PASS,PASS,N/A,0.0,PASS,0.29,0.29,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,strength_below_minus5,12,0.6399999999999999,0.36,0.01,0.6299999999999999,0.6399999999999999,-0.010000000000000009,FAIL,100,5.0,NO BET,N/A,N/A,FAIL,0,FAIL,0.36,0.36,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,override_valid,1X,0.7625,0.23750000000000002,0.01,0.7525,0.65,0.10249999999999992,PRUDENT,85.0,5.0,WATCH,PRUDENT,PRUDENT,N/A,0,PRUDENT,0.35,0.35,NO,N/A,0.0,READY,NO,FĂRĂ ISTORIC
fixture,override_valid,X2,0.5625,0.4375,0.01,0.5525,0.75,-0.1975,PASS,81.0,5.0,WATCH,PASS,PASS,N/A,0.0,PASS,0.25,0.4375,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,override_valid,12,0.675,0.32499999999999996,0.01,0.665,0.6,0.06500000000000006,FAIL,100,5.0,NO BET,N/A,N/A,FAIL,0,FAIL,0.4,0.4,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,override_no_reason,1X,0.7625,0.23750000000000002,0.01,0.7525,0.65,0.10249999999999992,FAIL,100,5.0,NO BET,PRUDENT,FAIL,N/A,0,FAIL,0.35,0.35,NO,N/A,0.0,READY,NO,FĂRĂ ISTORIC
fixture,override_no_reason,X2,0.5625,0.4375,0.01,0.5525,0.75,-0.1975,PASS,81.0,5.0,WATCH,PASS,PASS,N/A,0.0,PASS,0.25,0.4375,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,override_no_reason,12,0.675,0.32499999999999996,0.01,0.665,0.6,0.06500000000000006,FAIL,100,5.0,NO BET,N/A,N/A,FAIL,0,FAIL,0.4,0.4,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,override_cannot_bypass_market,1X,0.75,0.25,0.01,0.74,0.6000000000000001,0.1399999999999999,FAIL,100,5.0,NO BET,FAIL,PRUDENT,N/A,0,FAIL,0.4,0.4,NO,N/A,0.0,READY,NO,FĂRĂ ISTORIC
fixture,override_cannot_bypass_market,X2,0.575,0.425,0.01,0.565,0.8,-0.2350000000000001,PASS,79.0,4.0,RIDICAT,PASS,PASS,N/A,0.0,PASS,0.2,0.425,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,override_cannot_bypass_market,12,0.675,0.32499999999999996,0.01,0.665,0.6000000000000001,0.06499999999999995,FAIL,100,5.0,NO BET,N/A,N/A,FAIL,0,FAIL,0.4,0.4,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,draw_defensive,1X,0.96,0.04,0.01,0.95,0.96,-0.010000000000000009,PASS,9.0,1.0,DEFENSIV,PASS,PASS,N/A,0,PASS,0.04,0.04,YES,N/A,0.0,READY,YES,FĂRĂ ISTORIC
fixture,draw_defensive,X2,0.1,0.9,0.01,0.09000000000000001,0.1,-0.009999999999999995,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.9,0.9,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,draw_defensive,12,0.9400000000000001,0.06,0.01,0.93,0.9400000000000001,-0.010000000000000009,PASS,13.0,1.0,DEFENSIV,N/A,N/A,PASS,0,PASS,0.06,0.06,YES,N/A,0,READY,YES,FĂRĂ ISTORIC
fixture,chronology_invalid,1X,,,0.01,,0.9199999999999999,,INPUT,,,INPUT INVALID – NO RANK,PASS,INPUT,N/A,0,INPUT,0.08,,NO,N/A,0.0,INVALID,NO,FĂRĂ ISTORIC
fixture,chronology_invalid,X2,,,0.01,,0.18,,INPUT,,,INPUT INVALID – NO RANK,FAIL,INPUT,N/A,0.0,INPUT,0.82,,NO,N/A,0,INVALID,NO,FĂRĂ ISTORIC
fixture,chronology_invalid,12,,,0.01,,0.8999999999999999,,INPUT,,,INPUT INVALID – NO RANK,N/A,N/A,INPUT,0,INPUT,0.1,,NO,N/A,0,INVALID,NO,FĂRĂ ISTORIC
fixture,sample_fraction_invalid,1X,,,0.045,,0.9199999999999999,,INPUT,,,INPUT INVALID – NO RANK,PASS,INPUT,N/A,0,INPUT,0.08,,NO,N/A,0.0,INVALID,NO,FĂRĂ ISTORIC
fixture,sample_fraction_invalid,X2,,,0.045,,0.18,,INPUT,,,INPUT INVALID – NO RANK,FAIL,INPUT,N/A,0.0,INPUT,0.82,,NO,N/A,0,INVALID,NO,FĂRĂ ISTORIC
fixture,sample_fraction_invalid,12,,,0.045,,0.8999999999999999,,INPUT,,,INPUT INVALID – NO RANK,N/A,N/A,INPUT,0,INPUT,0.1,,NO,N/A,0,INVALID,NO,FĂRĂ ISTORIC
fixture,numeric_text_market,1X,,,0.01,,,,INPUT,,,VERIFICARE NECESARĂ – NO RANK,INPUT,INPUT,N/A,0,INPUT,,,NO,N/A,0.0,PENDING,NO,FĂRĂ ISTORIC
fixture,numeric_text_market,X2,,,0.01,,,,INPUT,,,VERIFICARE NECESARĂ – NO RANK,INPUT,INPUT,N/A,,INPUT,,,NO,N/A,0,PENDING,NO,FĂRĂ ISTORIC
fixture,numeric_text_market,12,,,0.01,,,,INPUT,,,VERIFICARE NECESARĂ – NO RANK,N/A,N/A,INPUT,0,INPUT,,,NO,N/A,0,PENDING,NO,FĂRĂ ISTORIC
